ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9541607,HX194966,03/20/2014 02:00:00 AM,041XX W 21ST ST,0810,THEFT,OVER $500,STREET,false,false,1012,,24,29,06,,,2014,03/23/2014 12:39:11 AM,,,
9538750,HX192040,03/20/2014 02:00:00 AM,070XX S CHAPPEL AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0331,,5,43,07,,,2014,03/21/2014 12:39:35 AM,,,
9539096,HX192428,03/20/2014 02:00:00 AM,072XX S WOLCOTT AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,0735,,17,67,06,,,2014,03/21/2014 12:39:35 AM,,,
9539335,HX192683,03/20/2014 01:50:00 AM,033XX S ABERDEEN ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0913,,11,60,26,,,2014,03/21/2014 12:39:35 AM,,,
9537945,HX191584,03/20/2014 01:50:00 AM,007XX S CALIFORNIA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1135,,2,27,08B,,,2014,03/21/2014 12:39:35 AM,,,
9537956,HX191581,03/20/2014 01:40:00 AM,027XX S KOMENSKY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,true,true,1031,,22,30,08B,,,2014,03/21/2014 12:39:35 AM,,,
9541847,HX191590,03/20/2014 01:35:00 AM,003XX E 59TH ST,0820,THEFT,$500 AND UNDER,RESIDENCE,false,true,0232,,20,40,06,,,2014,03/24/2014 12:41:18 AM,,,
9538751,HX192044,03/20/2014 01:30:00 AM,073XX S CALUMET AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0323,,6,69,07,,,2014,03/21/2014 12:39:35 AM,,,
9537961,HX191575,03/20/2014 01:20:00 AM,076XX S STEWART AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,true,0621,,17,69,08A,,,2014,03/21/2014 12:39:35 AM,,,
9537947,HX191572,03/20/2014 01:20:00 AM,069XX S EBERHART AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,false,0322,,6,69,08A,,,2014,03/21/2014 12:39:35 AM,,,
9538079,HX191592,03/20/2014 01:15:00 AM,005XX E 103RD ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,false,false,0511,,9,49,08B,,,2014,03/21/2014 12:39:35 AM,,,
9537975,HX191574,03/20/2014 01:05:00 AM,021XX S WABASH AVE,0460,BATTERY,SIMPLE,BAR OR TAVERN,false,false,0131,,2,33,08B,,,2014,03/21/2014 12:39:35 AM,,,
9537950,HX191568,03/20/2014 01:04:00 AM,084XX S MARYLAND AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,0632,,8,44,08B,,,2014,03/21/2014 12:39:35 AM,,,
9538345,HX191819,03/20/2014 01:00:00 AM,053XX S INDIANA AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0231,,3,40,06,,,2014,03/21/2014 12:39:35 AM,,,
9538336,HX191648,03/20/2014 01:00:00 AM,051XX W GRAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,false,false,2522,,37,19,14,,,2014,03/21/2014 12:39:35 AM,,,
9538879,HX192043,03/20/2014 01:00:00 AM,032XX N KILPATRICK AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1731,,30,15,07,,,2014,03/21/2014 12:39:35 AM,,,
9537939,HX191573,03/20/2014 01:00:00 AM,006XX N FRANKLIN ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,BAR OR TAVERN,true,false,1831,,42,8,04B,,,2014,03/21/2014 12:39:35 AM,,,
9537969,HX191563,03/20/2014 12:55:00 AM,024XX N MILWAUKEE AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1414,,35,22,08B,,,2014,03/21/2014 12:39:35 AM,,,
9537963,HX191578,03/20/2014 12:53:00 AM,073XX S YALE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,true,true,0731,,17,69,08B,,,2014,03/21/2014 12:39:35 AM,,,
9538602,HX191684,03/20/2014 12:45:00 AM,058XX N MOODY AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1622,,45,10,06,,,2014,03/21/2014 12:39:35 AM,,,
9537924,HX191559,03/20/2014 12:41:00 AM,061XX S RHODES AVE,2870,PUBLIC PEACE VIOLATION,PEEPING TOM,APARTMENT,false,false,0313,,20,42,24,,,2014,03/21/2014 12:39:35 AM,,,
9538103,HX191686,03/20/2014 12:38:00 AM,019XX W 62ND ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0714,,15,67,06,,,2014,03/21/2014 12:39:35 AM,,,
9537929,HX191569,03/20/2014 12:36:00 AM,022XX N KENNETH AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,ALLEY,false,false,2522,,31,20,18,,,2014,03/21/2014 12:39:35 AM,,,
9537965,HX191564,03/20/2014 12:30:00 AM,002XX N STATE ST,0460,BATTERY,SIMPLE,SIDEWALK,true,false,0111,,42,32,08B,,,2014,03/21/2014 12:39:35 AM,,,
9537926,HX191570,03/20/2014 12:30:00 AM,002XX S KILPATRICK AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,1113,,28,25,08B,,,2014,03/21/2014 12:39:35 AM,,,
9537932,HX191557,03/20/2014 12:30:00 AM,061XX S HERMITAGE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0714,,15,67,08B,,,2014,03/21/2014 12:39:35 AM,,,
9539393,HX192753,03/20/2014 12:30:00 AM,050XX S LAMON AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0814,,23,56,06,,,2014,03/21/2014 12:39:35 AM,,,
9537946,HX191560,03/20/2014 12:27:00 AM,075XX S INGLESIDE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0624,,8,69,08B,,,2014,03/21/2014 12:39:35 AM,,,
9537922,HX191565,03/20/2014 12:26:00 AM,051XX W MADISON ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,false,false,1533,,28,25,18,,,2014,03/21/2014 12:39:35 AM,,,
9537913,HX191558,03/20/2014 12:25:00 AM,026XX S SPAULDING AVE,2027,NARCOTICS,POSS: CRACK,ALLEY,false,false,1032,,22,30,18,,,2014,03/21/2014 12:39:35 AM,,,
9538553,HX191561,03/20/2014 12:10:00 AM,005XX W 103RD ST,0320,ROBBERY,STRONGARM - NO WEAPON,TAVERN/LIQUOR STORE,false,false,2232,,9,73,03,,,2014,03/21/2014 12:39:35 AM,,,
